,Balcony,Built_year,Floor,Home_type,ID,Kitsp,Lift,Link,Livesp,Metrdist,Nfloor,Parking,Price,Remont,Roof_hight,Sales_type,Sdacha_GK,Search,Tel,Totsp,View,WC,Walk,dist,lat,lon,rooms
0,–,1930,2,"            вторичка, ",0,7.2,1 пасс.,http://www.cian.ru/sale/flat/148098786/,22.8,9.0,10.0,,12800000,евроремонт,,свободная,,0,,43.1,двор и улица,,1.0,3.884975256252025,55.765083,37.655526,2
1,1 балк.,1958,4,            вторичка,1,8.0,1 пасс.,http://www.cian.ru/sale/flat/152531113/,57.0,3.0,9.0,,18000000,косметический,                3 м,свободная,,0,,82.0,двор и улица,,1.0,6.634630292291803,55.715297,37.676906,3
2,2 лодж.,2003,12,"            вторичка, ",2,6.0,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/152531026/,45.0,9.0,14.0,,13000000,евроремонт,"                2,70 м",свободная,,0,,55.0,двор и улица,,0.0,19.746081977307224,55.673214,37.792852,2
3,–,2002,2,"            вторичка, ",3,,–,http://www.cian.ru/sale/flat/150314057/,31.9,,3.0,наземная,1435500,косметический,,свободная,,0,,31.9,двор,1,,52.86835996177469,55.59221,37.155003,1
4,–,,1,            вторичка,4,,–,http://www.cian.ru/sale/flat/152050630/,14.0,5.0,19.0,,1540000,косметический,,свободная,,0,,16.0,двор,1,0.0,18.038746401150476,55.504206,37.539042,студиявЖК«ПримаПарк»
5,нет,,1,"            вторичка, ",5,,нет,http://www.cian.ru/sale/flat/152115711/,,10.0,2.0,,1600000,,,свободная,,0,да,19.5,двор и улица,,0.0,33.1786152878236,55.647468,37.329177,1
6,нет,,1,"            вторичка, ",6,6.0,нет,http://www.cian.ru/sale/flat/152115710/,12.0,10.0,1.0,,1600000,,,свободная,,0,да,18.9,двор и улица,,0.0,33.1786152878236,55.647468,37.329177,1
7,–,,2,            вторичка,7,,–,http://www.cian.ru/sale/flat/150753951/,20.0,15.0,3.0,наземная,1640000,отсутствует,,свободная,,0,,22.5,–,1,0.0,33.1786152878236,55.647468,37.329177,студия
8,–,,1,            вторичка,8,4.0,1 пасс.,http://www.cian.ru/sale/flat/151794500/,10.0,15.0,19.0,наземная,1690000,отсутствует,,свободная,,0,,14.0,двор,1,0.0,18.038746401150476,55.504206,37.539042,студиявЖК«ПримаПарк»
9,–,2016,1,"            вторичка, ",9,2.0,2 пасс. + 2 груз.,http://www.cian.ru/sale/flat/151363597/,14.0,15.0,17.0,наземная,1790000,отсутствует,"                2,80 м",свободная,,0,,17.0,двор,1,0.0,18.038746401150476,55.504206,37.539042,1
10,–,,1,            вторичка,10,4.0,1 пасс.,http://www.cian.ru/sale/flat/151798966/,13.0,,19.0,наземная,1790000,отсутствует,,свободная,,0,,17.0,двор,1,,18.038746401150476,55.504206,37.539042,студиявЖК«ПримаПарк»
11,–,2016,1,"            вторичка, ",11,3.0,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/151820967/,13.0,,19.0,наземная,1790000,отсутствует,"                2,80 м",свободная,,0,,16.0,двор,1,,18.038746401150476,55.504206,37.539042,студиявЖК«ПримаПарк»
12,1 балк.,,1,"            новостройка, ",12,10.2,нет,http://www.cian.ru/sale/flat/151240474/,18.1,37.0,3.0,,1800000,,,свободная,—,0,,34.2,двор,,0.0,79.93660449494168,55.49766,36.917628,1
13,–,,2,            вторичка,13,,–,http://www.cian.ru/sale/flat/151940311/,20.0,,3.0,наземная,1850000,отсутствует,,свободная,,0,,22.5,–,1,,33.78440791137801,55.646675,37.323715,студия
14,1 балк.,,2,"            вторичка, ",14,3.0,–,http://www.cian.ru/sale/flat/151163081/,19.0,25.0,3.0,наземная,1890000,отсутствует,,свободная,,0,,22.3,двор,1,0.0,33.512004592955016,55.648499,37.326006,студия
15,–,,2,"            новостройка, ",15,10.8,–,http://www.cian.ru/sale/flat/149951113/,18.1,,3.0,наземная,1900000,,,переуступка,4 кв. 2016 года,0,,34.8,улица,1,,79.93660449494168,55.49766,36.917628,1
16,–,,5,"            новостройка, ",16,26.0,1 груз.,http://www.cian.ru/sale/flat/150817353/,16.0,20.0,5.0,,1934000,,,переуступка,2 кв. 2017 года,0,,57.6,–,,0.0,33.62173203012246,55.551273,37.341269,1
17,–,2015,1,"            вторичка, ",17,,1 пасс.,http://www.cian.ru/sale/flat/151437998/,17.0,17.0,10.0,наземная,1940000,косметический,"                2,75 м",свободная,,0,,19.0,–,1,1.0,18.460029664981587,55.527581,37.514077,студия
18,–,2016,1,"            вторичка, ",18,3.0,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/152119922/,11.0,20.0,17.0,наземная,1990000,отсутствует,"                2,80 м",свободная,,0,,17.0,улица,1,1.0,18.771932716758464,55.526093,37.510745,студия
19,–,2015,1,"            вторичка, ",19,4.0,–,http://www.cian.ru/sale/flat/152191938/,13.0,10.0,16.0,,1990000,отсутствует,"                2,75 м",свободная,,0,,17.0,двор,1,1.0,18.460029664981587,55.527581,37.514077,студия
20,–,1973,1,"            вторичка, ",20,,–,http://www.cian.ru/sale/flat/151935533/,11.5,5.0,9.0,,2000000,косметический,"                2,64 м",свободная,,0,,11.5,–,,1.0,9.194738358142759,55.606751,37.612811,студия
21,1 лодж.,,3,"            новостройка, ",21,10.0,–,http://www.cian.ru/sale/flat/151889573/,17.0,,3.0,наземная,2000000,,,переуступка,4 кв. 2016 года,0,,35.0,–,1,,79.90296442288971,55.497261,36.917982,1
22,–,,5,"            новостройка, ",22,5.0,2 пасс. + 1 груз.,http://www.cian.ru/sale/flat/151216862/,16.0,,7.0,,2000000,,,предварительный договор,1 кв. 2017 года,0,,22.5,–,1,,57.07884331105729,55.592683,37.116483,студиявЖК«Медоваядолина»
23,1 балк.,,1,"            новостройка, ",23,8.8,нет,http://www.cian.ru/sale/flat/151240470/,14.1,37.0,3.0,,2050000,,,свободная,—,0,,37.2,двор,,0.0,79.93660449494168,55.49766,36.917628,1
24,–,,7,"            новостройка, ",24,,2 пасс. + 1 груз.,http://www.cian.ru/sale/flat/152226659/,15.0,40.0,18.0,,2050000,,,214-ФЗ,2 кв. 2017 года,0,,20.0,двор,,0.0,54.082540734937574,55.967823,37.150537,1
25,–,,1,            вторичка,25,4.0,–,http://www.cian.ru/sale/flat/151797502/,14.0,15.0,19.0,наземная,2090000,отсутствует,,свободная,,0,,18.0,двор,1,0.0,18.038746401150476,55.504206,37.539042,студиявЖК«ПримаПарк»
26,–,2016,1,"            вторичка, ",26,3.0,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/151820902/,12.0,,19.0,наземная,2090000,отсутствует,"                2,80 м",свободная,,0,,18.0,двор,1,,18.038746401150476,55.504206,37.539042,студиявЖК«ПримаПарк»
27,нет,,2,"            вторичка, ",27,6.0,нет,http://www.cian.ru/sale/flat/152115709/,15.0,15.0,2.0,,2100000,,,свободная,,0,да,26.0,двор и улица,,0.0,33.1786152878236,55.647468,37.329177,1
28,1 балк.,,3,            новостройка,28,10.0,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/151783462/,27.0,6.0,,,6160799,,,свободная,4 кв. 2016 года,0,,32.1,двор,,0.0,13.011138982922011,55.840892,37.515173,1
29,2 лодж.,1983,7,"            вторичка, ",29,12.0,2 пасс.,http://www.cian.ru/sale/flat/152288559/,20.0,11.0,12.0,наземная,7400000,евроремонт,"                2,80 м",свободная,,0,да,46.0,двор,1,1.0,20.382681568541802,55.748686,37.804332,1
30,–,,1,"            новостройка, ",30,,нет,http://www.cian.ru/sale/flat/150488448/,,15.0,8.0,,2104336,,,свободная,—,0,,26.8,улица,,0.0,29.07886683154072,55.519412,37.395328,1
31,1 балк.,,8,"            новостройка, ",31,,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/151729469/,12.7,30.0,18.0,,2105719,,,свободная,—,0,,22.3,двор,1,0.0,54.05959103244139,55.966409,37.150548,1
32,–,,5,"            новостройка, ",32,34.4,1 груз.,http://www.cian.ru/sale/flat/149173347/,23.9,15.0,5.0,,2141000,,,переуступка,2 кв. 2017 года,0,,63.8,двор,,0.0,33.84617460271226,55.552716,37.338772,1
33,–,,1,"            новостройка, ",33,,нет,http://www.cian.ru/sale/flat/150488578/,,15.0,7.0,,2175004,,,свободная,—,0,,27.7,улица,,0.0,29.07886683154072,55.519412,37.395328,1
34,–,,2,"            вторичка, ",34,5.0,–,http://www.cian.ru/sale/flat/151849129/,17.0,25.0,3.0,наземная,2190000,отсутствует,,свободная,,0,,26.0,двор,1,0.0,33.78440791137801,55.646675,37.323715,1
35,–,,2,"            вторичка, ",35,4.0,–,http://www.cian.ru/sale/flat/149996752/,20.0,25.0,3.0,наземная,2190000,отсутствует,,свободная,,0,,26.0,двор,1,0.0,33.71654408144691,55.648209,37.324165,1
36,–,,1,"            вторичка, ",36,3.0,–,http://www.cian.ru/sale/flat/151588539/,16.0,25.0,3.0,наземная,2190000,отсутствует,"                3,70 м",свободная,,0,,19.0,двор,1,0.0,33.512004592955016,55.648499,37.326006,студия
37,–,,2,            вторичка,37,5.0,–,http://www.cian.ru/sale/flat/151483010/,20.0,25.0,3.0,наземная,2190000,отсутствует,,свободная,,0,,26.0,двор,1,0.0,33.78440791137801,55.646675,37.323715,1
38,–,,3,            вторичка,38,5.0,–,http://www.cian.ru/sale/flat/150249119/,26.0,,3.0,наземная,2190000,отсутствует,                3 м,свободная,,0,нет,32.0,двор,1,,20.948182783173106,55.52407,37.483786,1
39,–,,2,"            вторичка, ",39,5.0,–,http://www.cian.ru/sale/flat/151964714/,20.0,25.0,3.0,наземная,2190000,отсутствует,,свободная,,0,,25.6,двор,1,0.0,33.373392316132566,55.648042,37.327327,1
40,–,,2,"            вторичка, ",40,5.0,–,http://www.cian.ru/sale/flat/150505082/,20.0,25.0,3.0,наземная,2190000,отсутствует,,свободная,,0,,26.0,двор,1,0.0,33.753575059742005,55.648804,37.32376,1
41,–,,3,"            вторичка, ",41,5.0,–,http://www.cian.ru/sale/flat/151392775/,24.0,30.0,3.0,наземная,2190000,отсутствует,,свободная,,0,,32.0,двор,1,1.0,20.948182783173106,55.52407,37.483786,1
