,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
0,1,0,0,5,0,11.7,1,http://www.cian.ru/sale/flat/149965274/,85.8,6.0,0,9.0,67800000,дизайнерский,1.0,125.0,1.0,3.5944833035305828,55.765853,37.589734,3
1,0,0,0,2,1,,0,http://www.cian.ru/sale/flat/144380581/,,11.0,0,7.0,80000000,,1.0,135.0,1.0,2.868929175545683,55.740558,37.596498,4
2,1,0,0,4,2,27.0,1,http://www.cian.ru/sale/flat/142815677/,143.0,2.0,0,,136955070,,1.0,170.0,0.0,4.55067064883062,55.738449,37.581236,4
3,–,0,0,2,3,,1,http://www.cian.ru/sale/flat/151004941/,10.0,6.0,1,5.0,4814581,,,17.3,1.0,5.812966511764322,55.775753,37.671938,1
4,0,0,0,2,4,,1,http://www.cian.ru/sale/flat/150346368/,17.3,5.0,0,6.0,4814581,,0.0,17.3,1.0,5.845458443318635,55.776294,37.672163,1
5,–,0,0,1,5,7.0,1,http://www.cian.ru/sale/flat/150640194/,20.0,4.0,0,9.0,5300000,косметический,1.0,32.0,1.0,5.963411283242945,55.730101,37.673214,1
6,0,0,0,5,6,,1,http://www.cian.ru/sale/flat/149031321/,18.3,6.0,1,,5377566,,,18.3,1.0,5.812966511764322,55.775753,37.671938,1
7,–,0,0,5,7,,1,http://www.cian.ru/sale/flat/151004981/,10.0,6.0,1,5.0,5377566,,,18.3,1.0,5.812966511764322,55.775753,37.671938,1
8,0,0,0,2,8,,1,http://www.cian.ru/sale/flat/148794719/,23.7,5.0,0,6.0,5496232,,0.0,23.7,1.0,5.845458443318635,55.776294,37.672163,1
9,1,0,0,1,9,9.6,1,http://www.cian.ru/sale/flat/149565205/,20.0,10.0,0,1.0,5550000,отсутствует,,37.4,1.0,7.675244104342097,55.775793,37.689042,1
10,1,0,0,3,10,6.0,–,http://www.cian.ru/sale/flat/149849414/,16.0,,0,5.0,5900000,отсутствует,1.0,30.0,,10.997486288622799,55.756356,37.522477,1
11,–,0,0,1,11,10.0,1,http://www.cian.ru/sale/flat/149300855/,20.0,13.0,0,12.0,6000000,косметический,,35.0,1.0,10.9378833791994,55.753387,37.522998,1
12,1,0,0,12,12,9.6,1,http://www.cian.ru/sale/flat/149788538/,20.1,10.0,0,12.0,6000000,косметический,1.0,35.1,0.0,6.312487346862632,55.737988,37.677301,1
13,1,0,0,2,13,8.0,–,http://www.cian.ru/sale/flat/148112883/,21.0,12.0,0,5.0,6100000,отсутствует,1.0,34.0,1.0,7.035784293185213,55.770613,37.558796,1
14,1,0,0,12,14,10.0,1,http://www.cian.ru/sale/flat/149727197/,20.0,10.0,0,12.0,6100000,косметический,1.0,36.0,1.0,6.312487346862632,55.737988,37.677301,1
15,0,0,0,4,15,,1,http://www.cian.ru/sale/flat/149031382/,25.5,6.0,1,,6258687,,,25.5,1.0,5.812966511764322,55.775753,37.671938,1
16,–,0,0,4,16,,1,http://www.cian.ru/sale/flat/151005044/,15.0,6.0,1,4.0,6258687,,,25.5,1.0,5.812966511764322,55.775753,37.671938,1
17,0,0,0,3,17,29.5,1,http://www.cian.ru/sale/flat/150910021/,,5.0,1,4.0,6325576,,,29.5,1.0,5.812966511764322,55.775753,37.671938,1
